date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind
27/11/2017,26.17,28,24.5,88.64,2,
28/11/2017,27.08,32.1,24.2,83.02,2,
29/11/2017,27.33,31.4,24.2,83.89,4,
30/11/2017,28.05,32.5,24.2,,0,
1/12/2017,28.69,35.4,24.6,75.37,0,
2/12/2017,,,,77.62,0,
3/12/2017,28.85,33.2,25.4,80.01,0,
4/12/2017,28.1,33.6,24.5,84.71,2,
5/12/2017,28.74,35.1,24.8,80.54,2,
6/12/2017,28.4,34.4,24.1,77.38,2,
7/12/2017,27.47,36.9,23.4,83.4,4,
8/12/2017,27.43,31.8,24,77.4,0,
9/12/2017,26.34,28.9,24,83.19,0,
10/12/2017,,,,78.36,16,
11/12/2017,27.39,33.8,23.8,,16,
12/12/2017,,,,88.12,12,
13/12/2017,26.71,33.1,22.6,83.7,14,
14/12/2017,27.63,34.3,23.3,80.26,2,
15/12/2017,,,,83.97,14,5.43
16/12/2017,,,,81.31,2,5.84
17/12/2017,27.77,33.1,23.7,,0,8.23
18/12/2017,27.86,32.3,25.2,72.53,0,9.04
19/12/2017,,,,78.54,2,
20/12/2017,,,,76.67,0,
21/12/2017,27.79,32.6,24.3,70.93,0,
22/12/2017,27.88,33.5,23.4,73.75,16,
23/12/2017,27.52,33.2,23,79.5,4,6.76
24/12/2017,26.66,29.6,24.4,82.12,0,6.85
25/12/2017,27.33,32.3,23.3,78.99,12,
26/12/2017,,,,78.85,4,
27/12/2017,,,,80.72,4,5.18
28/12/2017,,,,81.48,6,5.88
29/12/2017,,,,80.81,2,7.54
30/12/2017,26.84,30.7,24.4,86.18,8,7.11
31/12/2017,25.03,26.8,23.3,93,46,
1/1/2018,24.94,27.4,22.7,89.52,30,4.9
2/1/2018,25.5,28,23.2,89.14,6,5.2
3/1/2018,26.8,33.2,23.5,83.52,10,4.95
4/1/2018,26.59,30.2,23.7,84.82,0,5.67
5/1/2018,26.15,29.4,23.5,86.6,6,3.63
6/1/2018,27.05,32.4,23.5,82.52,0,4.31
7/1/2018,27.17,33.2,23.2,83.97,4,5.37
8/1/2018,26.83,37,20.9,82.23,36,4.67
9/1/2018,27.03,37,19.3,83.05,14,5.7
10/1/2018,24.82,36.8,19,90.74,14,5.2
11/1/2018,23.85,35.2,19,90.1,8,8.16
12/1/2018,23,36.4,19,92.07,6,8.53
13/1/2018,22.97,35.8,19,92.55,12,7.28
14/1/2018,23.57,37,19,84.66,4,7.58
15/1/2018,24.91,36.8,19.1,85.02,0,6.74
16/1/2018,26.33,30.7,22.2,80.49,0,6.68
17/1/2018,27.31,32.8,23.8,78.6,0,7.09
18/1/2018,27.41,33.3,23.8,76.56,0,7.49
19/1/2018,26.86,34.1,23.3,81.65,14,5.81
20/1/2018,26.57,33.2,23.6,84.74,8,5.02
21/1/2018,27.62,34.3,23.5,77.96,0,6.38
22/1/2018,28.06,33.2,23.7,77.65,0,5.45
23/1/2018,26.98,32.7,24.1,84.5,6,
24/1/2018,26.64,32.3,22.9,82.41,24,
25/1/2018,26.58,31.9,23.4,84.61,4,
26/1/2018,26.36,32.1,23.2,86.8,12,
27/1/2018,27.66,33.2,24,81.02,0,
28/1/2018,26.96,34.4,21.8,81.84,8,
29/1/2018,27.9,33.6,23.2,74.5,0,
30/1/2018,27.47,34.9,21.2,81.38,6,5.33
31/1/2018,27.38,34.5,23.2,82.24,8,5.06
1/2/2018,28.34,33.6,25.2,76.79,2,6.37
2/2/2018,25.76,28.3,23.6,89.84,4,5.44
3/2/2018,27.31,32.1,23.7,79.09,0,6.83
4/2/2018,26.72,31.2,24.5,79.2,0,6.7
5/2/2018,26.93,31.6,23.8,74.91,0,7.12
6/2/2018,26.9,31.8,22.7,71.17,0,7.29
7/2/2018,,,,,4.38,
8/2/2018,26.56,30.3,23.6,70.74,4.38,6.92
9/2/2018,26.56,32.7,22.4,69.89,4.38,6.58
10/2/2018,26.57,32.9,22,70.5,4.38,6.01
11/2/2018,27.19,32.9,22.7,67.01,4.38,6.36
12/2/2018,27.46,33.1,23.8,67.08,4.38,7.4
13/2/2018,27.41,33.7,22.6,73.48,0,5.81
14/2/2018,26.9,32.7,23.2,77.41,0,5.77
15/2/2018,27.4,34.4,23.5,78.19,2,4.53
16/2/2018,27.57,33.7,23.3,78.46,0,4.39
17/2/2018,26.03,26.9,25,86.38,4.38,4.99
18/2/2018,,,,,4.38,
19/2/2018,27.69,34.4,23.7,72.93,0,6.84
20/2/2018,27.71,33.8,23.1,74.55,0,5.74
21/2/2018,27.97,33.5,23.8,75.37,0,6.6
22/2/2018,28.19,35.1,23.9,75.09,0,5.76
23/2/2018,26.89,33.5,22.6,83.92,14,4.65
24/2/2018,25.88,30.5,23.8,86.12,0,4.59
25/2/2018,27.2,31.9,23.7,80.24,0,5.09
26/2/2018,27.43,32.4,24.3,78.68,0,6.18
27/2/2018,27.57,32.9,23.7,78.68,0,5.55
28/2/2018,27.95,35.1,23.5,78.58,14,5.03
1/3/2018,27.83,34,24,80.15,2,4.41
2/3/2018,27.49,33.7,23.5,83.37,10,3.94
3/3/2018,27.81,35.7,23.4,81.81,6,4.53
4/3/2018,27.7,35,23.9,82.27,8,3.76
5/3/2018,28.73,34.4,24.7,76,0,5.39
6/3/2018,28.27,35.6,22.6,77.63,4,4.12
7/3/2018,26.49,29.8,24,86.44,4,4.14
8/3/2018,26.92,31,23.6,84.61,0,4.28
9/3/2018,28.54,34.3,24,73.86,0,6.14
10/3/2018,27.29,30.2,24,82.26,10,6.82
11/3/2018,27.67,33.4,23.8,77.98,0,
12/3/2018,27.47,32.2,24,80.68,4,5.25
13/3/2018,28.17,33.5,24.8,76.93,0,5.13
14/3/2018,28.49,34.3,24,74.12,0,4.86
15/3/2018,28.87,35.7,24,74.11,0,4.2
16/3/2018,28.33,34.2,24,78.53,2,4.94
17/3/2018,28.41,35.5,22.2,77.04,2,4.92
18/3/2018,28.49,34.1,23.5,75.08,0,5.43
19/3/2018,28.75,35.2,24.3,75.19,2,5.04
20/3/2018,28.55,35.1,22,75.54,10,4.98
21/3/2018,28.07,34.7,24.6,78.85,0,3.81
22/3/2018,28.86,34.4,24.7,73.3,0,6.25
23/3/2018,28.74,34,24.4,71.22,0,5.95
24/3/2018,28.02,33.3,22.7,75.5,8,5.13
25/3/2018,26.98,31.3,23.9,84.43,2,3.53
26/3/2018,27.5,33.7,24,83.24,10,4.17
27/3/2018,25.45,29.7,23.1,89.09,4,5.06
28/3/2018,26.9,34.4,23,81.97,4,3.48
29/3/2018,26.89,31.4,23.4,85.06,0,3.64
30/3/2018,26.78,34.1,21.7,81.21,6,3.46
31/3/2018,28.15,34.3,23.5,79.38,0,4.42
1/4/2018,28.15,34.1,22.5,78.79,16,4.4
2/4/2018,28.34,34.4,24.4,79.38,4,
3/4/2018,28.5,34.7,24.9,75.61,0,4.96
4/4/2018,28.62,34.1,24.1,73.09,0,5.35
5/4/2018,28.56,34.5,23.9,74.45,0,4.8
6/4/2018,28.54,35.1,23.6,76.51,2,4.56
7/4/2018,27.74,33.7,23.9,80.57,20,4.7
8/4/2018,28.38,33.4,25.5,76.99,0,
9/4/2018,28.83,33.7,25.4,75.53,0,
10/4/2018,28.73,34.7,24.9,76.69,0,4.25
11/4/2018,28.36,34.6,25.1,80.46,0,4.92
12/4/2018,,,,,4.38,4.56
13/4/2018,,,,,4.38,5.22
14/4/2018,,,,,4.38,3.34
15/4/2018,,,,,4.38,3.44
16/4/2018,26.1,29.5,23.9,88.03,4,3.49
17/4/2018,27.98,34.4,23.7,80.65,8,3.82
18/4/2018,28.68,34,24.5,78.09,0,4.78
19/4/2018,27.82,34.1,24.2,83.62,8,3.78
20/4/2018,27.58,34.3,22.6,84.89,24,4.24
21/4/2018,27.09,33.2,24.4,86,4,3.55
22/4/2018,27.88,34.5,24.6,84.87,4,3.62
23/4/2018,27.38,33.7,22.9,86.48,14,3.55
24/4/2018,28.27,33,24,78.67,2,4.11
25/4/2018,29.77,35,25.1,70.46,0,4.07
26/4/2018,28.81,34.4,24,81.2,4,3.75
27/4/2018,26.75,33.2,22.1,87.3,14,3.23
